Textid,ChnText,EngText,Chn_Sentiment,Eng_Sentiment
1,她挥舞着战旗，挥动着自己燃烧的青春，敌人将在这火焰中化为灰烬，理想世界明天就会在她那沸腾的热血中诞生……,"She waved the battle banner as though brandishing her burning youth, trusting that the enemy would be burnt to ashes in the revolutionary flames, imagining that an ideal world would be born tomorrow from the ardor and zeal coursing through her blood.… ",1,1
2,她陶醉在这鲜红灿烂的梦幻中，直到被一颗步枪子弹洞穿了胸膛，十五岁少女的胸膛是那么柔嫩，那颗子弹穿过后基本上没有减速，在她身后的空中发出一声啾鸣。年轻的红卫兵同她的旗帜一起从楼顶落下，她那轻盈的身体落得甚至比旗帜还慢，仿佛小鸟眷恋着天空,"She was intoxicated by her brilliant, crimson dream until a bullet pierced her chest. Her fifteen-year-old body was so soft that the bullet hardly slowed down as it passed through it and whistled in the air behind her. The young Red Guard tumbled down along with her flag, her light form descending even more slowly than the piece of red fabric, like a little bird unwilling to leave the sky.",-1,-1
3,你父亲在回忆这件事后，对我发出这样的感叹：在中国，任何超脱飞扬的思想都会砰然坠地的，现实的引力太沉重了。,"After your father recounted this memory to me, he sighed and said, “In China, any idea that dared to take flight would only crash back to the ground. The gravity of reality is too strong.”",-1,-1
4,也许，人类和邪恶的关系，就是大洋与漂浮于其上的冰山的关系，它们其实是同一种物质组成的巨大水体，冰山之所以被醒目地认出来，只是由于其形态不同而已，而它实质上只不过是这整个巨大水体中极小的一部分……," Is it possible that the relationship between humanity and evil is similar to the relationship between the ocean and an iceberg floating on its surface? Both the ocean and the iceberg are made of the same material. That the iceberg seems separate is only because it is in a different form. In reality, it is but a part of the vast ocean.…
",-1,-1
5,在西方的天际，正在云海中下沉的夕阳仿佛被融化了，太阳的血在云海和天空中弥漫开来，映现出一大片壮丽的血红。,"Over the western horizon, the sun that was slowly sinking into the sea of clouds seemed to melt. The ruddy sun dissolved into the clouds and spread over the sky, illuminating a large patch in magnificent, bloody red.",-1,-1
6,这天叶文洁值夜班，这是最孤寂的时刻，在静静的午夜，宇宙向它的聆听者展示着广漠的荒凉。叶文洁最不愿意看的，就是显示器上缓缓移动的那条曲线，那是红岸接收到的宇宙电波的波形，无意义的噪声,"One night, Ye was working the night shift. This was the loneliest time. In the deep silence of midnight, the universe revealed itself to its listeners as a vast desolation. What Ye disliked most was seeing the waves that slowly crawled across the display, a visual record of the meaningless noise Red Coast picked up from space. ",-1,-1
7,叶文洁感到这条无限长的曲线就是宇宙的抽象，一头连着无限的过去，另一头连着无限的未来，中间只有无规律无生命的随机起伏，一个个高低错落的波峰就像一粒粒大小不等的沙子，整条曲线就像是所有沙粒排成行形成的一维沙漠，荒凉寂寥，长得令人无法忍受。,"Ye felt this interminable wave was an abstract view of the universe: one end connected to the endless past, the other to the endless future, and in the middle only the ups and downs of random chance—without life, without pattern, the peaks and valleys at different heights like uneven grains of sand, the whole curve like a one-dimensional desert made of all the grains of sand lined up in a row, lonely, desolate, so long that it was intolerable",-1,-1
8,但今天，当叶文洁扫了一眼波形显示器后，发现有些异样。即使是专业人员，也很难仅凭肉眼看出波形是否携带信息，但叶文洁对宇宙噪声的波形太熟悉了，眼前移动的波形，似乎多了某种说不出来的东西，这条起伏的细线像是有了灵魂,"On this day, however, Ye saw something odd when she glanced at the waveform display. Even experts had a hard time telling with the naked eye whether a waveform carried information. But Ye was so familiar with the noise of the universe that she could tell that the wave that now moved in front of her eyes had something extra. The thin curve, rising and falling, seemed to possess a soul. ",1,1
9,在令她头晕目眩的激动和迷惑中，叶文洁接着译解了第二段信息：这个世界收到了你们的信息。,"Still caught up by the dizzying excitement and confusion, Ye deciphered a second message:This world has received your message.",1,1
10,"我是这个世界的一个和平主义者，我首先收到信息是你们文明的幸运，警告你们： 
不要回答！不要回答！！不要回答！！！ 
","I am a pacifist in this world. It is the luck of your civilization that I am the first to receive your message. I am warning you: Do not answer! Do not answer!! Do not answer!!!
There are tens of millions of stars in your direction. 
",-1,-1
