,author,published_at,updated_at,like_count,text
0,@the-fantabulous-g,2023-12-16T04:21:56Z,2023-12-16T04:21:56Z,1,"Why are there no Asian men in the trailer? For a book adapted from China, you'd expect a ""diverse"" cast to actually have more than 1 Asian female (who traditionally test better with audiences) star in the show. We missed out another chance to open the pipelines for Asians on the big screen."
1,@Edzyboy,2023-12-15T17:12:27Z,2023-12-15T17:12:27Z,0,Good job the books are actually finished.  We all know what happens when D&D have to carry on the story for themselves.
2,@jhtrq1465,2023-12-15T14:27:09Z,2023-12-15T14:27:09Z,0,Why on Earth Netflix have to give this masterpiece to the worst showrunners of the last 10 years ?
3,@SistoActivitatemAtm,2023-12-15T07:29:33Z,2023-12-15T07:29:33Z,0,"Is this just going to be anti China propaganda? Thanks guys who ruined GoT, gonna love ur political commentary"
4,@jeramahia123,2023-12-14T09:19:17Z,2023-12-14T09:19:17Z,0,"For those confused, most of the weird stuff you see in the trailer is from a virtual reality game the characters are playing."
5,@RobotechLegos,2023-12-14T07:31:05Z,2023-12-14T07:31:05Z,1,Sweet jehova<br>I am so jealous of anyone who doesn’t know what’s coming with this story.<br>Best three sci fi books I’ve ever read as far as mind blowing imagination and existential horror
6,@mahagnosis,2023-12-13T16:34:04Z,2023-12-13T16:34:04Z,0,"just finished the book. Totally love it, from the sci fi, the philosophy, the messages, the ending. Hooe the netflix one can handle all of these aspects. I dont care if they change the casts to be multicultural. The story is about earth afterall. But I hope at least Luo Ji is a male asian, which are underrepresented."
7,@lurkerrekrul,2023-12-12T06:49:28Z,2023-12-12T06:49:28Z,0,"So, one season, season finale cliffhanger, and then canceled? Yeah, count me out.<br><br>Maybe when services stop canceling shows on cliffhanger endings, I'll start watching again. Until then I have better things to do than waste my time on something that will probably never have an ending, and that will just leave me hanging."
8,@MarieCrossbow,2023-12-11T22:40:12Z,2023-12-11T22:40:30Z,0,"Love the books, but the adaptation is made by Netflix, so they'll probably screw it up"
9,@ce5523,2023-12-11T16:27:41Z,2023-12-11T16:27:41Z,0,"We will not be watching, D&D writing this means it is guaranteed to suck ass."
10,@arctinnes15,2023-12-11T14:42:44Z,2023-12-11T14:42:44Z,2,"last night I finished the last book of the trilogy and it's the craziest story I've ever read. everything civilizations did, it never really mattered"
11,@thetreeofwoe2304,2023-12-11T02:08:08Z,2023-12-11T02:08:08Z,2,"All the weird Capri Sun product placement throughout this lmao <a href=""about:invalid#zCSafez""></a>"
12,@Maysti87,2023-12-10T13:14:21Z,2023-12-10T13:14:21Z,2,for the love of god netflix dont screw this up like the witcher which was my other favourite book series
13,@hellohi1925,2023-12-09T23:08:29Z,2023-12-09T23:08:29Z,3,"Please do not remove all the Chinese elements from this, like everything the western world does with tea and Japan"
14,@duhanx2,2023-12-09T11:51:13Z,2023-12-09T11:51:13Z,1,"I approved obama and read, perfect ❤"
15,@shakariwilliams6243,2023-12-09T09:04:06Z,2023-12-09T09:04:06Z,0,Clearly DandD can only write from source material. Horrible people and shouldn’t have gotten another job
16,@justicegutierrez6847,2023-12-08T18:52:22Z,2023-12-08T18:52:22Z,1,"I've already watched the Chinese made one, but I'm still gonna watch this one.<br><br>Though Netflix is gonna have a hard time topping the guy they chose to play Da Shi 😭"
17,@jairo9ramalho,2023-12-08T16:35:02Z,2023-12-08T16:35:02Z,1,"I've just finished watching the Tencent production. It a great adaptation. For what I see here, D&D think that Three Body is Matrix 3... will they butch this story too?"
18,@ince55ant,2023-12-08T04:11:28Z,2023-12-08T04:11:28Z,1,just watch the chinese tv show
19,@gtr1112003,2023-12-07T19:40:37Z,2023-12-07T19:40:37Z,3,"sees soldiers flying in the air*<br>people whove read the book: oh no, the transistor!"
20,@shubhmittal27,2023-12-07T04:31:29Z,2023-12-07T04:31:29Z,3,Trisolaris = Japan but a Planet
21,@Damned1208,2023-12-06T17:14:32Z,2023-12-06T17:14:32Z,0,"Выглядит как полное говно, гейфликс как всегда держит планку💩"
22,@SuitUpDubstep,2023-12-05T19:44:35Z,2023-12-05T19:44:35Z,1,"Please, please, please do the books justice!!"
23,@Antarprince,2023-12-05T06:57:42Z,2023-12-05T06:57:42Z,2,"Given how GoT ended, ""From the Creators of GoT"" is not a flex I would use"
24,@richardbenitez1282,2023-12-05T04:59:30Z,2023-12-05T04:59:30Z,1,Am reading series now. Looks good. Looks like Netflix honored the Chinese character of the series.
25,@jezusghoti,2023-12-05T00:58:48Z,2023-12-05T00:58:48Z,0,Yeah lol no thanks. I'm not gonna watch anything from the guys who ruined the ending of Game of Thrones ever again.
26,@DerekCFPegritz,2023-12-04T21:37:48Z,2023-12-04T21:37:48Z,2,"This looks SO much better than the Chinese series--which was a solid adaptation of the first novel, but very bland."
27,@He_who_pooted,2023-12-04T21:15:08Z,2023-12-04T21:15:08Z,1,Man I hope they don't mess this up. This was one of the best and deeply philosophical sci-fi/cosmic horror books that I've ever read
28,@stranger.t181,2023-12-04T20:09:06Z,2023-12-04T20:09:06Z,1,Hey. don't fuckedup this beautiful novel.
